WORD,MPQA,OPENER,OL,VADER
cushy,1.0,1.0,1.0,1.0
cuss,-1.0,-1.0,-1.0,-1.0
cussed,-1.0,-1.0,-1.0,-1.0
cut,-1.0,-1.0,-0.7583333333333333,-0.275
cute,1.0,1.0,1.0,0.5
cutely,0.325,0.325,0.325,0.325
cuteness,0.7875,0.7875,1.0,0.575
cutenesses,0.475,0.475,0.475,0.475
cuter,0.575,0.575,0.575,0.575
cutes,0.45,0.45,0.45,0.45
cutesie,0.25,0.25,0.25,0.25
cutesier,0.375,0.375,0.375,0.375
cutesiest,0.55,0.55,0.55,0.55
cutest,0.7,0.7,0.7,0.7
cutesy,0.525,0.525,0.525,0.525
cutey,0.525,0.525,0.525,0.525
cuteys,0.375,0.375,0.375,0.375
cutie,0.375,0.375,0.375,0.375
cutiepie,0.5,0.5,0.5,0.5
cuties,0.55,0.55,0.55,0.55
cuts,-0.3,-0.3,-0.3,-0.3
cutthroat,-1.0,-1.0,-1.0,-1.0
cutting,-0.125,-0.125,-0.125,-0.125
cwot,-0.575,-0.575,-0.575,-0.575
cynic,-0.35,-0.35,-0.35,-0.35
cynical,-1.0,-1.0,-1.0,-0.4
cynically,-0.325,-0.325,-0.325,-0.325
cynicism,-1.0,-1.0,-1.0,-0.425
cynicisms,-0.425,-0.425,-0.425,-0.425
cynics,-0.075,-0.075,-0.075,-0.075
d*mn,-1.0,-1.0,-1.0,-1.0
d-':,-0.625,-0.625,-0.625,-0.625
d-:,0.4,0.4,0.4,0.4
d8,-0.8,-0.8,-0.8,-0.8
d:,-0.2125,-0.2125,-0.2125,-0.2125
d:<,-0.8,-0.8,-0.8,-0.8
d;,-0.725,-0.725,-0.725,-0.725
d=,-0.1875,-0.1875,-0.1875,-0.1875
damage,-1.0,-1.0,-1.0,-0.55
damaged,-0.7375,-0.7375,-1.0,-0.475
damager,-0.475,-0.475,-0.475,-0.475
damagers,-0.5,-0.5,-0.5,-0.5
damages,-0.7375,-0.7375,-1.0,-0.475
damaging,-1.0,-1.0,-1.0,-0.575
damagingly,-0.5,-0.5,-0.5,-0.5
damn,-1.0,-1.0,-1.0,-0.425
damnable,-1.0,-1.0,-1.0,-0.425
damnableness,-0.45,-0.45,-0.45,-0.45
damnably,-1.0,-1.0,-1.0,-0.425
damnation,-1.0,-1.0,-1.0,-0.65
damnations,-0.35,-0.35,-0.35,-0.35
damnatory,-0.65,-0.65,-0.65,-0.65
damned,-1.0,-1.0,-1.0,-0.4
damnedest,-0.125,-0.125,-0.125,-0.125
damnified,-0.7,-0.7,-0.7,-0.7
damnifies,-0.45,-0.45,-0.45,-0.45
damnify,-0.55,-0.55,-0.55,-0.55
damnifying,-0.6,-0.6,-0.6,-0.6
damning,-1.0,-1.0,-1.0,-0.35
damningly,-0.5,-0.5,-0.5,-0.5
damnit,-0.6,-0.6,-0.6,-0.6
damns,-0.55,-0.55,-0.55,-0.55
damper,-1.0,-1.0,-1.0,-1.0
dance,1.0,1.0,1.0,1.0
danger,-1.0,-1.0,-1.0,-0.6
dangered,-0.6,-0.6,-0.6,-0.6
dangering,-0.625,-0.625,-0.625,-0.625
dangerous,-1.0,-1.0,-1.0,-0.525
dangerously,-0.5,-0.5,-0.5,-0.5
dangerousness,-1.0,-1.0,-1.0,-0.5
dangers,-0.55,-0.55,-0.55,-0.55
dangle,-1.0,-1.0,-1.0,-1.0
danke,1.0,1.0,1.0,1.0
danken,1.0,1.0,1.0,1.0
dare,1.0,1.0,1.0,1.0
daredevil,0.125,0.125,0.125,0.125
daring,1.0,1.0,1.0,0.375
daringly,1.0,1.0,1.0,0.525
daringness,0.35,0.35,0.35,0.35
darings,0.1,0.1,0.1,0.1
dark,-1.0,-1.0,-1.0,-1.0
darken,-1.0,-1.0,-1.0,-1.0
darkened,-1.0,-1.0,-1.0,-1.0
darker,-1.0,-1.0,-1.0,-1.0
darkest,-0.55,-0.55,-0.55,-0.55
darkness,-1.0,-1.0,-1.0,-0.25
darling,1.0,1.0,1.0,0.7
darlingly,0.4,0.4,0.4,0.4
darlingness,0.575,0.575,0.575,0.575
darlings,0.55,0.55,0.55,0.55
darn,-1.0,-1.0,-1.0,-1.0
dash,-1.0,-1.0,-1.0,-1.0
dashing,1.0,1.0,1.0,1.0
dastard,-1.0,-1.0,-1.0,-1.0
dastardly,-1.0,-1.0,-1.0,-1.0
daunt,-1.0,-1.0,-1.0,-1.0
daunting,-1.0,-1.0,-1.0,-1.0
dauntingly,-1.0,-1.0,-1.0,-1.0
dauntless,1.0,1.0,1.0,0.575
dawdle,-1.0,-1.0,-1.0,-1.0
dawn,1.0,1.0,1.0,1.0
daydream,1.0,1.0,1.0,1.0
daydreamer,1.0,1.0,1.0,1.0
daze,-1.0,-1.0,-1.0,-0.175
dazed,-1.0,-1.0,-1.0,-0.175
dazedly,-0.1,-0.1,-0.1,-0.1
dazedness,-0.125,-0.125,-0.125,-0.125
dazes,-0.075,-0.075,-0.075,-0.075
dazzle,1.0,1.0,1.0,1.0
dazzled,1.0,1.0,1.0,1.0
dazzling,1.0,1.0,1.0,1.0
dead,-1.0,-1.0,-1.0,-0.825
dead-cheap,1.0,1.0,1.0,1.0
dead-on,1.0,1.0,1.0,1.0
deadbeat,-1.0,-1.0,-1.0,-1.0
deadlock,-1.0,-1.0,-1.0,-0.35
deadly,-1.0,-1.0,-1.0,-1.0
deadweight,-1.0,-1.0,-1.0,-1.0
deaf,-1.0,-1.0,-1.0,-1.0
deafening,-0.3,-0.3,-0.3,-0.3
deal,1.0,1.0,1.0,1.0
dear,1.0,1.0,0.7999999999999999,0.4
dearer,0.475,0.475,0.475,0.475
dearest,0.65,0.65,0.65,0.65
dearie,0.55,0.55,0.55,0.55
dearies,0.25,0.25,0.25,0.25
dearly,0.45,0.45,0.45,0.45
dearness,0.5,0.5,0.5,0.5
dears,0.475,0.475,0.475,0.475
dearth,-1.0,-1.0,-1.0,-0.575
dearths,-0.225,-0.225,-0.225,-0.225
deary,0.475,0.475,0.475,0.475
death,-1.0,-1.0,-1.0,-0.725
debacle,-1.0,-1.0,-1.0,-1.0
debase,-1.0,-1.0,-1.0,-1.0
debasement,-1.0,-1.0,-1.0,-1.0
debaser,-1.0,-1.0,-1.0,-1.0
debatable,-1.0,-1.0,-1.0,-1.0
debate,-1.0,-1.0,-1.0,-1.0
debauch,-1.0,-1.0,-1.0,-1.0
debaucher,-1.0,-1.0,-1.0,-1.0
debauchery,-1.0,-1.0,-1.0,-1.0
debilitate,-1.0,-1.0,-1.0,-1.0
debilitating,-1.0,-1.0,-1.0,-1.0
debility,-1.0,-1.0,-1.0,-1.0
debonair,0.2,0.2,0.2,0.2
debt,-0.6875,-0.6875,-1.0,-0.375
debts,-1.0,-1.0,-1.0,-1.0
decadence,-1.0,-1.0,-1.0,-1.0
decadent,-1.0,-1.0,-1.0,-1.0
decay,-1.0,-1.0,-1.0,-0.425
decayed,-1.0,-1.0,-1.0,-0.4
decayer,-0.4,-0.4,-0.4,-0.4
decayers,-0.4,-0.4,-0.4,-0.4
decaying,-0.425,-0.425,-0.425,-0.425
decays,-0.425,-0.425,-0.425,-0.425
deceit,-1.0,-1.0,-1.0,-0.5
deceitful,-1.0,-1.0,-1.0,-0.475
deceitfully,-1.0,-1.0,-1.0,-1.0
deceitfulness,-1.0,-1.0,-1.0,-1.0
deceive,-1.0,-1.0,-1.0,-0.425
deceived,-0.475,-0.475,-0.475,-0.475
deceiver,-1.0,-1.0,-1.0,-1.0
deceivers,-1.0,-1.0,-1.0,-1.0
deceives,-0.4,-0.4,-0.4,-0.4
deceiving,-1.0,-1.0,-1.0,-0.35
decency,1.0,1.0,1.0,1.0
decent,1.0,1.0,1.0,1.0
deception,-1.0,-1.0,-1.0,-0.475
deceptive,-1.0,-1.0,-1.0,-1.0
deceptively,-1.0,-1.0,-1.0,-1.0
decide,0.0,0.0,0.0,0.0
decisive,1.0,1.0,1.0,0.225
decisiveness,1.0,1.0,1.0,1.0
declaim,-1.0,-1.0,-1.0,-1.0
decline,-1.0,-1.0,-1.0,-1.0
declines,-1.0,-1.0,-1.0,-1.0
declining,-1.0,-1.0,-1.0,-1.0
decrease,-1.0,-1.0,-1.0,-1.0
decreasing,-1.0,-1.0,-1.0,-1.0
decrement,-1.0,-1.0,-1.0,-1.0
decrepit,-1.0,-1.0,-1.0,-1.0
decrepitude,-1.0,-1.0,-1.0,-1.0
decry,-1.0,-1.0,-1.0,-1.0
dedicated,1.0,1.0,1.0,0.5
deduce,0.0,0.0,0.0,0.0
deep,-0.5,-0.5,-0.5,-0.5
deepening,-1.0,-1.0,-1.0,-1.0
deeply,0.0,0.0,0.0,0.0
defamation,-1.0,-1.0,-1.0,-1.0
defamations,-1.0,-1.0,-1.0,-1.0
defamatory,-1.0,-1.0,-1.0,-1.0
defame,-1.0,-1.0,-1.0,-1.0
defeat,-1.0,-1.0,1.0,-0.5
defeated,0.2375,0.2375,1.0,-0.525
defeater,-0.35,-0.35,-0.35,-0.35
defeaters,-0.225,-0.225,-0.225,-0.225
defeating,0.3,0.3,1.0,-0.4
defeatism,-0.325,-0.325,-0.325,-0.325
defeatist,-0.425,-0.425,-0.425,-0.425
defeatists,-0.525,-0.525,-0.525,-0.525
defeats,0.3375,0.3375,1.0,-0.325
defeature,-0.475,-0.475,-0.475,-0.475
defeatures,-0.375,-0.375,-0.375,-0.375
defect,-1.0,-1.0,-1.0,-0.35
defected,-0.425,-0.425,-0.425,-0.425
defecting,-0.45,-0.45,-0.45,-0.45
defection,-0.35,-0.35,-0.35,-0.35
defections,-0.375,-0.375,-0.375,-0.375
defective,-1.0,-1.0,-1.0,-0.475
defectively,-0.525,-0.525,-0.525,-0.525
defectiveness,-0.45,-0.45,-0.45,-0.45
defectives,-0.45,-0.45,-0.45,-0.45
defector,-0.475,-0.475,-0.475,-0.475
defectors,-0.325,-0.325,-0.325,-0.325
defects,-0.7125,-0.7125,-1.0,-0.425
defence,0.1,0.1,0.1,0.1
defenceman,0.1,0.1,0.1,0.1
defencemen,0.15,0.15,0.15,0.15
defences,-0.05,-0.05,-0.05,-0.05
defend,1.0,1.0,1.0,1.0
defender,1.0,1.0,1.0,0.1
defenders,0.075,0.075,0.075,0.075
defense,1.0,1.0,0.7083333333333334,0.125
defenseless,-0.35,-0.35,-0.35,-0.35
defenselessly,-0.275,-0.275,-0.275,-0.275
defenselessness,-0.325,-0.325,-0.325,-0.325
defenseman,0.025,0.025,0.025,0.025
defensemen,-0.1,-0.1,-0.1,-0.1
defenses,0.175,0.175,0.175,0.175
defensibility,0.1,0.1,0.1,0.1
defensible,0.2,0.2,0.2,0.2
defensibly,0.025,0.025,0.025,0.025
defensive,-1.0,-1.0,-1.0,0.025
defensively,-0.15,-0.15,-0.15,-0.15
defensiveness,-0.1,-0.1,-0.1,-0.1
defensives,-0.075,-0.075,-0.075,-0.075
defer,-0.3,-0.3,-0.3,-0.3
deference,1.0,1.0,1.0,1.0
deferring,-0.175,-0.175,-0.175,-0.175
defiance,-1.0,-1.0,-1.0,-1.0
defiant,-1.0,-1.0,-1.0,-0.225
defiantly,-1.0,-1.0,-1.0,-1.0
deficiencies,-1.0,-1.0,-1.0,-1.0
deficiency,-1.0,-1.0,-1.0,-1.0
deficient,-1.0,-1.0,-1.0,-1.0
deficit,-0.425,-0.425,-0.425,-0.425
defile,-1.0,-1.0,-1.0,-1.0
defiler,-1.0,-1.0,-1.0,-1.0
definite,1.0,1.0,0.7583333333333333,0.275
definitely,1.0,1.0,0.8083333333333332,0.425
definitive,1.0,1.0,1.0,1.0
definitively,1.0,1.0,1.0,1.0
deflationary,1.0,1.0,1.0,1.0
deform,-1.0,-1.0,-1.0,-1.0
deformed,-1.0,-1.0,-1.0,-1.0
defrauding,-1.0,-1.0,-1.0,-1.0
deft,1.0,1.0,1.0,1.0
defunct,-1.0,-1.0,-1.0,-1.0
defy,-1.0,-1.0,-1.0,-1.0
degenerate,-1.0,-1.0,-1.0,-1.0
degenerately,-1.0,-1.0,-1.0,-1.0
degeneration,-1.0,-1.0,-1.0,-1.0
deginified,1.0,1.0,1.0,1.0
degradable,-0.25,-0.25,-0.25,-0.25
degradation,-1.0,-1.0,-1.0,-0.6
degradations,-0.375,-0.375,-0.375,-0.375
degradative,-0.5,-0.5,-0.5,-0.5
degrade,-1.0,-1.0,-1.0,-0.475
degraded,-0.45,-0.45,-0.45,-0.45
degrader,-0.5,-0.5,-0.5,-0.5
degraders,-0.5,-0.5,-0.5,-0.5
degrades,-0.525,-0.525,-0.525,-0.525
degrading,-1.0,-1.0,-1.0,-0.7
degradingly,-1.0,-1.0,-1.0,-0.675
dehumanization,-1.0,-1.0,-1.0,-1.0
dehumanize,-1.0,-1.0,-1.0,-0.45
dehumanized,-0.475,-0.475,-0.475,-0.475
dehumanizes,-0.375,-0.375,-0.375,-0.375
dehumanizing,-0.6,-0.6,-0.6,-0.6
deign,-1.0,-1.0,-1.0,-1.0
deject,-1.0,-1.0,-1.0,-0.55
dejected,-1.0,-1.0,-1.0,-0.55
dejectedly,-1.0,-1.0,-1.0,-1.0
dejecting,-0.575,-0.575,-0.575,-0.575
dejection,-1.0,-1.0,-1.0,-1.0
dejects,-0.5,-0.5,-0.5,-0.5
delay,-0.6625,-0.6625,-1.0,-0.325
delayed,-0.6125,-0.6125,-1.0,-0.225
delaying,-1.0,-1.0,-1.0,-1.0
delays,-1.0,-1.0,-1.0,-1.0
delectable,1.0,1.0,1.0,0.725
delectables,0.35,0.35,0.35,0.35
delectably,0.7,0.7,0.7,0.7
delicacy,1.0,1.0,1.0,1.0
delicate,1.0,1.0,1.0,0.05
delicately,0.25,0.25,0.25,0.25
delicates,0.15,0.15,0.15,0.15
delicatessen,0.1,0.1,0.1,0.1
delicatessens,0.1,0.1,0.1,0.1
delicious,1.0,1.0,1.0,0.675
deliciously,0.475,0.475,0.475,0.475
deliciousness,0.45,0.45,0.45,0.45
delight,1.0,1.0,1.0,0.725
delighted,1.0,1.0,1.0,0.575
delightedly,0.6,0.6,0.6,0.6
delightedness,0.525,0.525,0.525,0.525
delighter,0.5,0.5,0.5,0.5
delighters,0.65,0.65,0.65,0.65
delightful,1.0,1.0,1.0,0.7
delightfully,1.0,1.0,1.0,0.675
delightfulness,1.0,1.0,1.0,0.525
delighting,0.4,0.4,0.4,0.4
delights,0.5,0.5,0.5,0.5
delightsome,0.575,0.575,0.575,0.575
delinquency,-1.0,-1.0,-1.0,-1.0
delinquent,-1.0,-1.0,-1.0,-1.0
delirious,-1.0,-1.0,-1.0,-1.0
delirium,-1.0,-1.0,-1.0,-1.0
delude,-1.0,-1.0,-1.0,-1.0
deluded,-1.0,-1.0,-1.0,-1.0
deluge,-1.0,-1.0,-1.0,-1.0
delusion,-1.0,-1.0,-1.0,-1.0
delusional,-1.0,-1.0,-1.0,-1.0
delusions,-1.0,-1.0,-1.0,-1.0
demand,0.0,0.0,-0.041666666666666664,-0.125
demanded,-0.225,-0.225,-0.225,-0.225
demanding,-0.225,-0.225,-0.225,-0.225
demands,0.0,0.0,0.0,0.0
demean,-1.0,-1.0,-1.0,-1.0
demeaning,-1.0,-1.0,-1.0,-1.0
demise,-1.0,-1.0,-1.0,-1.0
democratic,1.0,1.0,1.0,1.0
demolish,-1.0,-1.0,-1.0,-1.0
demolisher,-1.0,-1.0,-1.0,-1.0
demon,-1.0,-1.0,-1.0,-1.0
demonic,-1.0,-1.0,-1.0,-1.0
demonize,-1.0,-1.0,-1.0,-1.0
demonized,-1.0,-1.0,-1.0,-1.0
demonizes,-1.0,-1.0,-1.0,-1.0
demonizing,-1.0,-1.0,-1.0,-1.0
demonstration,0.1,0.1,0.1,0.1
demoralize,-1.0,-1.0,-1.0,-1.0
demoralized,-0.4,-0.4,-0.4,-0.4
demoralizing,-1.0,-1.0,-1.0,-1.0
demoralizingly,-1.0,-1.0,-1.0,-1.0
demystify,1.0,1.0,1.0,1.0
denial,-1.0,-1.0,-1.0,-1.0
denied,-0.7375,-0.7375,-1.0,-0.475
denier,-0.375,-0.375,-0.375,-0.375
deniers,-0.275,-0.275,-0.275,-0.275
denies,-0.725,-0.725,-1.0,-0.45
denigrate,-1.0,-1.0,-1.0,-1.0
denounce,-1.0,-1.0,-1.0,-0.35
denounces,-0.475,-0.475,-0.475,-0.475
dense,-1.0,-1.0,-1.0,-1.0
dent,-1.0,-1.0,-1.0,-1.0
dented,-1.0,-1.0,-1.0,-1.0
dents,-1.0,-1.0,-1.0,-1.0
denunciate,-1.0,-1.0,-1.0,-1.0
denunciation,-1.0,-1.0,-1.0,-1.0
denunciations,-1.0,-1.0,-1.0,-1.0
deny,-1.0,-1.0,-1.0,-0.35
denying,-0.675,-0.675,-1.0,-0.35
dependable,1.0,1.0,1.0,1.0
dependably,1.0,1.0,1.0,1.0
dependent,0.0,0.0,0.0,0.0
deplete,-1.0,-1.0,-1.0,-1.0
deplorable,-1.0,-1.0,-1.0,-1.0
deplorably,-1.0,-1.0,-1.0,-1.0
deplore,-1.0,-1.0,-1.0,-1.0
deploring,-1.0,-1.0,-1.0,-1.0
deploringly,-1.0,-1.0,-1.0,-1.0
deprave,-1.0,-1.0,-1.0,-1.0
depraved,-1.0,-1.0,-1.0,-1.0
depravedly,-1.0,-1.0,-1.0,-1.0
deprecate,-1.0,-1.0,-1.0,-1.0
depress,-1.0,-1.0,-1.0,-0.55
depressant,-0.4,-0.4,-0.4,-0.4
depressants,-0.4,-0.4,-0.4,-0.4
depressed,-1.0,-1.0,-1.0,-0.575
depresses,-0.55,-0.55,-0.55,-0.55
depressible,-0.425,-0.425,-0.425,-0.425
depressing,-1.0,-1.0,-1.0,-0.4
depressingly,-1.0,-1.0,-1.0,-0.575
depression,-1.0,-1.0,-1.0,-0.675
depressions,-0.775,-0.775,-1.0,-0.55
depressive,-0.4,-0.4,-0.4,-0.4
depressively,-0.525,-0.525,-0.525,-0.525
depressives,-0.375,-0.375,-0.375,-0.375
depressor,-0.45,-0.45,-0.45,-0.45
depressors,-0.425,-0.425,-0.425,-0.425
depressurization,-0.075,-0.075,-0.075,-0.075
depressurizations,-0.1,-0.1,-0.1,-0.1
depressurize,-0.125,-0.125,-0.125,-0.125
depressurized,-0.075,-0.075,-0.075,-0.075
depressurizes,-0.075,-0.075,-0.075,-0.075
depressurizing,-0.175,-0.175,-0.175,-0.175
deprival,-0.525,-0.525,-0.525,-0.525
deprivals,-0.3,-0.3,-0.3,-0.3
deprivation,-0.45,-0.45,-0.45,-0.45
deprivations,-0.45,-0.45,-0.45,-0.45
deprive,-1.0,-1.0,-1.0,-0.525
deprived,-1.0,-1.0,-1.0,-0.525
depriver,-0.4,-0.4,-0.4,-0.4
deprivers,-0.35,-0.35,-0.35,-0.35
deprives,-0.425,-0.425,-0.425,-0.425
depriving,-0.5,-0.5,-0.5,-0.5
derail,-0.3,-0.3,-0.3,-0.3
derailed,-0.35,-0.35,-0.35,-0.35
derails,-0.325,-0.325,-0.325,-0.325
deride,-1.0,-1.0,-1.0,-0.275
derided,-0.2,-0.2,-0.2,-0.2
derides,-0.25,-0.25,-0.25,-0.25
deriding,-0.375,-0.375,-0.375,-0.375
derision,-1.0,-1.0,-1.0,-0.3
derisive,-1.0,-1.0,-1.0,-1.0
derisively,-1.0,-1.0,-1.0,-1.0
derisiveness,-1.0,-1.0,-1.0,-1.0
derogatory,-1.0,-1.0,-1.0,-1.0
desecrate,-1.0,-1.0,-1.0,-1.0
desert,-1.0,-1.0,-1.0,-1.0
desertion,-1.0,-1.0,-1.0,-1.0
deserve,1.0,1.0,1.0,1.0
deserved,1.0,1.0,1.0,1.0
deservedly,1.0,1.0,1.0,1.0
deserving,1.0,1.0,1.0,1.0
desiccate,-1.0,-1.0,-1.0,-1.0
desiccated,-1.0,-1.0,-1.0,-1.0
desirable,1.0,1.0,1.0,0.325
desire,1.0,1.0,0.8083333333333332,0.425
desired,0.275,0.275,0.275,0.275
desiring,1.0,1.0,1.0,1.0
desirous,1.0,1.0,1.0,0.325
desititute,-1.0,-1.0,-1.0,-1.0
desolate,-1.0,-1.0,-1.0,-1.0
desolately,-1.0,-1.0,-1.0,-1.0
desolation,-1.0,-1.0,-1.0,-1.0
despair,-1.0,-1.0,-1.0,-0.325
despaired,-0.675,-0.675,-0.675,-0.675
despairer,-0.325,-0.325,-0.325,-0.325
despairers,-0.325,-0.325,-0.325,-0.325
despairing,-1.0,-1.0,-1.0,-0.575
despairingly,-1.0,-1.0,-1.0,-0.55
despairs,-0.675,-0.675,-0.675,-0.675
desperate,-1.0,-1.0,-1.0,-0.325
desperately,-1.0,-1.0,-1.0,-0.4
desperateness,-0.375,-0.375,-0.375,-0.375
desperation,-1.0,-1.0,-1.0,-0.5
desperations,-0.55,-0.55,-0.55,-0.55
despicable,-1.0,-1.0,-1.0,-1.0
despicably,-1.0,-1.0,-1.0,-1.0
despise,-1.0,-1.0,-1.0,-0.35
despised,-1.0,-1.0,-1.0,-0.425
despisement,-0.6,-0.6,-0.6,-0.6
despisements,-0.625,-0.625,-0.625,-0.625
despiser,-0.45,-0.45,-0.45,-0.45
despisers,-0.4,-0.4,-0.4,-0.4
despises,-0.5,-0.5,-0.5,-0.5
despising,-0.675,-0.675,-0.675,-0.675
despite,-1.0,-1.0,-1.0,-1.0
despoil,-1.0,-1.0,-1.0,-1.0
despoiler,-1.0,-1.0,-1.0,-1.0
despondence,-1.0,-1.0,-1.0,-1.0
despondency,-1.0,-1.0,-1.0,-1.0
despondent,-1.0,-1.0,-1.0,-0.525
despondently,-1.0,-1.0,-1.0,-1.0
despot,-1.0,-1.0,-1.0,-1.0
despotic,-1.0,-1.0,-1.0,-1.0
despotism,-1.0,-1.0,-1.0,-1.0
destabilisation,-1.0,-1.0,-1.0,-1.0
destains,-1.0,-1.0,-1.0,-1.0
destine,1.0,1.0,1.0,1.0
destined,1.0,1.0,1.0,1.0
destinies,1.0,1.0,1.0,1.0
destiny,0.5,0.5,1.0,0.6666666666666666
destitute,-1.0,-1.0,-1.0,-1.0
destitution,-1.0,-1.0,-1.0,-1.0
destroy,-1.0,-1.0,-1.0,-0.625
destroyed,-0.55,-0.55,-0.55,-0.55
destroyer,-1.0,-1.0,-1.0,-0.5
destroyers,-0.575,-0.575,-0.575,-0.575
destroying,-0.65,-0.65,-0.65,-0.65
destroys,-0.65,-0.65,-0.65,-0.65
destruct,-0.6,-0.6,-0.6,-0.6
destructed,-0.475,-0.475,-0.475,-0.475
destructibility,-0.45,-0.45,-0.45,-0.45
destructible,-0.375,-0.375,-0.375,-0.375
destructing,-0.625,-0.625,-0.625,-0.625
destruction,-1.0,-1.0,-1.0,-0.675
destructionist,-0.65,-0.65,-0.65,-0.65
destructionists,-0.525,-0.525,-0.525,-0.525
destructions,-0.575,-0.575,-0.575,-0.575
destructive,-1.0,-1.0,-1.0,-0.75
destructively,-0.6,-0.6,-0.6,-0.6
destructiveness,-0.6,-0.6,-0.6,-0.6
destructivity,-0.55,-0.55,-0.55,-0.55
destructs,-0.6,-0.6,-0.6,-0.6
desultory,-1.0,-1.0,-1.0,-1.0
detachable,1.0,1.0,1.0,1.0
detached,-0.125,-0.125,-0.125,-0.125
detain,-0.45,-0.45,-0.45,-0.45
detained,-0.425,-0.425,-0.425,-0.425
detention,-0.375,-0.375,-0.375,-0.375
deter,-1.0,-1.0,-1.0,-1.0
deteriorate,-1.0,-1.0,-1.0,-1.0
deteriorating,-1.0,-1.0,-1.0,-1.0
deterioration,-1.0,-1.0,-1.0,-1.0
determinable,0.225,0.225,0.225,0.225
determinableness,0.05,0.05,0.05,0.05
determinably,0.225,0.225,0.225,0.225
determinacy,0.25,0.25,0.25,0.25
determinant,0.05,0.05,0.05,0.05
determinantal,-0.075,-0.075,-0.075,-0.075
determinate,0.2,0.2,0.2,0.2
determinately,0.3,0.3,0.3,0.3
determinateness,0.275,0.275,0.275,0.275
determination,1.0,1.0,0.8083333333333332,0.425
determinations,0.2,0.2,0.2,0.2
determinative,0.275,0.275,0.275,0.275
determinatives,0.225,0.225,0.225,0.225
determinator,0.275,0.275,0.275,0.275
determined,0.35,0.35,0.35,0.35
deterrent,-1.0,-1.0,-1.0,-1.0
detest,-1.0,-1.0,-1.0,-1.0
detestable,-1.0,-1.0,-1.0,-1.0
detestably,-1.0,-1.0,-1.0,-1.0
detested,-1.0,-1.0,-1.0,-1.0
detesting,-1.0,-1.0,-1.0,-1.0
detests,-1.0,-1.0,-1.0,-1.0
detract,-1.0,-1.0,-1.0,-1.0
detracted,-1.0,-1.0,-1.0,-1.0
detracting,-1.0,-1.0,-1.0,-1.0
detraction,-1.0,-1.0,-1.0,-1.0
detracts,-1.0,-1.0,-1.0,-1.0
detriment,-1.0,-1.0,-1.0,-1.0
detrimental,-1.0,-1.0,-1.0,-1.0
devastate,-1.0,-1.0,-1.0,-0.775
devastated,-1.0,-1.0,-1.0,-0.75
devastates,-0.85,-0.85,-1.0,-0.7
devastating,-1.0,-1.0,-1.0,-0.825
devastatingly,-1.0,-1.0,-1.0,-0.6
devastation,-1.0,-1.0,-1.0,-0.45
devastations,-0.475,-0.475,-0.475,-0.475
devastative,-0.8,-0.8,-0.8,-0.8
devastator,-0.7,-0.7,-0.7,-0.7
devastators,-0.725,-0.725,-0.725,-0.725
deviate,-1.0,-1.0,-1.0,-1.0
deviation,-1.0,-1.0,-1.0,-1.0
devil,-1.0,-1.0,-1.0,-0.85
deviled,-0.4,-0.4,-0.4,-0.4
devilfish,-0.2,-0.2,-0.2,-0.2
devilfishes,-0.15,-0.15,-0.15,-0.15
deviling,-0.55,-0.55,-0.55,-0.55
devilish,-1.0,-1.0,-1.0,-0.525
devilishly,-1.0,-1.0,-1.0,-0.4
devilishness,-0.575,-0.575,-0.575,-0.575
devilkin,-0.6,-0.6,-0.6,-0.6
devilled,-0.575,-0.575,-0.575,-0.575
devilling,-0.45,-0.45,-0.45,-0.45
devilment,-1.0,-1.0,-1.0,-0.475
devilments,-0.275,-0.275,-0.275,-0.275
devilries,-0.4,-0.4,-0.4,-0.4
devilry,-1.0,-1.0,-1.0,-0.7
devils,-0.675,-0.675,-0.675,-0.675
deviltries,-0.375,-0.375,-0.375,-0.375
deviltry,-0.7,-0.7,-0.7,-0.7
devilwood,-0.2,-0.2,-0.2,-0.2
devilwoods,-0.25,-0.25,-0.25,-0.25
devious,-1.0,-1.0,-1.0,-1.0
deviously,-1.0,-1.0,-1.0,-1.0
deviousness,-1.0,-1.0,-1.0,-1.0
devoid,-1.0,-1.0,-1.0,-1.0
devote,1.0,1.0,0.7833333333333333,0.35
devoted,1.0,1.0,0.8083333333333332,0.425
devotedly,0.4,0.4,0.4,0.4
devotedness,0.5,0.5,0.5,0.5
devotee,1.0,1.0,0.7999999999999999,0.4
devotees,0.125,0.125,0.125,0.125
devotement,0.375,0.375,0.375,0.375
devotements,0.275,0.275,0.275,0.275
devotes,0.4,0.4,0.4,0.4
devoting,0.525,0.525,0.525,0.525
devotion,1.0,1.0,0.8333333333333334,0.5
devotional,0.3,0.3,0.3,0.3
devotionally,0.55,0.55,0.55,0.55
devotionals,0.3,0.3,0.3,0.3
devotions,0.45,0.45,0.45,0.45
devout,1.0,1.0,1.0,1.0
dexterity,1.0,1.0,1.0,1.0
dexterous,1.0,1.0,1.0,1.0
dexterously,1.0,1.0,1.0,1.0
dextrous,1.0,1.0,1.0,1.0
diabolic,-1.0,-1.0,-1.0,-1.0
diabolical,-1.0,-1.0,-1.0,-1.0
diabolically,-1.0,-1.0,-1.0,-1.0
diametrically,-1.0,-1.0,-1.0,-1.0
diamond,0.35,0.35,0.35,0.35
diappointed,-1.0,-1.0,-1.0,-1.0
diatribe,-1.0,-1.0,-1.0,-1.0
diatribes,-1.0,-1.0,-1.0,-1.0
