WORD,OPENER,POL
correct,1,positive
correct,1,positive
corrective,0,neutral
correctly,1,positive
corrode,-1,negative
corrosion,-1,negative
corrosive,-1,negative
corrupt,-1,negative
corrupt,-1,negative
corruption,-1,negative
cost-effective,1,positive
cost-saving,1,positive
costly,-1,negative
could,0,neutral
counterproductive,-1,negative
coupists,-1,negative
coupists,-1,negative
courage,1,positive
courage,1,positive
courageous,1,positive
courageously,1,positive
courageousness,1,positive
court,1,positive
courteous,1,positive
courtesy,1,positive
courtly,1,positive
covenant,1,positive
covert,0,neutral
covet,0,both
coveting,0,both
covetingly,0,both
covetous,-1,negative
covetous,-1,negative
covetously,0,both
cow,-1,negative
coward,-1,negative
cowardly,-1,negative
cozy,1,positive
crackdown,-1,negative
crackdown,-1,negative
crafty,-1,negative
cramped,-1,negative
cranky,-1,negative
crass,-1,negative
crave,1,positive
craven,-1,negative
cravenly,-1,negative
craving,1,positive
craze,-1,negative
crazily,-1,negative
craziness,-1,negative
crazy,-1,negative
creative,1,positive
credence,1,positive
credence,1,positive
credible,1,positive
credulous,-1,negative
crime,-1,negative
criminal,-1,negative
cringe,-1,negative
cripple,-1,negative
crippling,-1,negative
crisis,-1,negative
crisis,-1,negative
crisp,1,positive
critic,-1,negative
critical,-1,negative
criticism,-1,negative
criticism,-1,negative
criticisms,-1,negative
criticisms,-1,negative
criticize,-1,negative
critics,-1,negative
critics,-1,negative
crook,-1,negative
crooked,-1,negative
cross,-1,negative
crowded,-1,negative
crude,-1,negative
cruel,-1,negative
cruelties,-1,negative
cruelty,-1,negative
crumble,-1,negative
crumple,-1,negative
crusade,1,positive
crusade,1,positive
crusader,1,positive
crush,-1,negative
crushing,-1,negative
cry,-1,negative
culpable,-1,negative
cuplrit,-1,negative
cumbersome,-1,negative
cure-all,1,positive
cure-all,1,positive
curious,1,positive
curiously,1,positive
curse,-1,negative
curse,-1,negative
cursed,-1,negative
cursed,-1,negative
curses,-1,negative
cursory,-1,negative
curt,-1,negative
cuss,-1,negative
cut,-1,negative
cute,1,positive
cutthroat,-1,negative
cynical,-1,negative
cynicism,-1,negative
damage,-1,negative
damage,-1,negative
damaging,-1,negative
damn,-1,negative
damn,-1,negative
damn,-1,negative
damnable,-1,negative
damnably,-1,negative
damnation,-1,negative
damned,-1,negative
damning,-1,negative
dance,1,positive
dance,1,positive
danger,-1,negative
danger,-1,negative
dangerous,-1,negative
dangerousness,-1,negative
dangerousness,-1,negative
dangle,-1,negative
dare,1,positive
daring,1,positive
daringly,1,positive
dark,-1,negative
darken,-1,negative
darkness,-1,negative
darling,1,positive
darn,-1,negative
dash,-1,negative
dashing,1,positive
dastard,-1,negative
dastardly,-1,negative
daunt,-1,negative
daunting,-1,negative
dauntingly,-1,negative
dauntless,1,positive
dawdle,-1,negative
dawn,1,positive
daydream,1,positive
daydreamer,1,positive
daze,-1,negative
dazed,-1,negative
dazzle,1,positive
dazzled,1,positive
dazzling,1,positive
dead,-1,negative
deadbeat,-1,negative
deadlock,-1,negative
deadlock,-1,negative
deadly,-1,negative
deadweight,-1,negative
deaf,-1,negative
deal,1,positive
dear,1,positive
dearth,-1,negative
death,-1,negative
debacle,-1,negative
debase,-1,negative
debasement,-1,negative
debaser,-1,negative
debatable,-1,negative
debate,-1,negative
debauch,-1,negative
debaucher,-1,negative
debauchery,-1,negative
debilitate,-1,negative
debilitating,-1,negative
debility,-1,negative
decadence,-1,negative
decadent,-1,negative
decay,-1,negative
decay,-1,negative
decayed,-1,negative
deceit,-1,negative
deceitful,-1,negative
deceitfully,-1,negative
deceitfulness,-1,negative
deceiving,-1,negative
deceive,-1,negative
deceiver,-1,negative
deceivers,-1,negative
decent,1,positive
decency,1,positive
deception,-1,negative
deception,-1,negative
deceptive,-1,negative
deceptive,-1,negative
deceptively,-1,negative
decide,0,neutral
decisive,1,positive
decisiveness,1,positive
decisiveness,1,positive
declaim,-1,negative
decline,-1,negative
decline,-1,negative
declining,-1,negative
decrease,-1,negative
decrease,-1,negative
decreasing,-1,negative
decrement,-1,negative
decrepit,-1,negative
decrepitude,-1,negative
decry,-1,negative
dedicated,1,positive
deduce,0,neutral
deep,0,neutral
deep,-1,negative
deeply,0,neutral
deepening,-1,negative
deepening,-1,negative
defamation,-1,negative
defamations,-1,negative
defamatory,-1,negative
defame,-1,negative
defeat,-1,negative
defeat,-1,negative
defect,-1,negative
defective,-1,negative
defend,1,positive
defender,1,positive
defender,1,positive
defensive,-1,negative
deference,1,positive
defense,1,positive
defiance,-1,negative
defiance,-1,negative
defiant,-1,negative
defiantly,-1,negative
deficiency,-1,negative
deficient,-1,negative
defile,-1,negative
defiler,-1,negative
definite,1,positive
definitely,1,positive
definitive,1,positive
definitive,1,positive
definitively,1,positive
deflationary,1,positive
deform,-1,negative
deformed,-1,negative
defrauding,-1,negative
defrauding,-1,negative
deft,1,positive
defunct,-1,negative
defy,-1,negative
degenerate,-1,negative
degenerate,-1,negative
degenerately,-1,negative
degeneration,-1,negative
degradation,-1,negative
degrade,-1,negative
degrading,-1,negative
degradingly,-1,negative
dehumanization,-1,negative
dehumanize,-1,negative
deign,-1,negative
deject,-1,negative
dejected,-1,negative
dejectedly,-1,negative
dejection,-1,negative
delectable,1,positive
delicacy,1,positive
delicate,1,positive
delicious,1,positive
delight,1,positive
delight,1,positive
delighted,1,positive
delightful,1,positive
delightful,1,positive
delightfully,1,positive
delightfulness,1,positive
delinquency,-1,negative
delinquent,-1,negative
delirious,-1,negative
delirium,-1,negative
delude,-1,negative
deluded,-1,negative
deluge,-1,negative
delusion,-1,negative
delusion,-1,negative
delusional,-1,negative
delusional,-1,negative
delusions,-1,negative
delusions,-1,negative
demand,0,both
demand,0,both
demand,0,both
demands,0,both
demands,0,both
demean,-1,negative
demeaning,-1,negative
demise,-1,negative
democratic,1,positive
demolish,-1,negative
demolisher,-1,negative
demon,-1,negative
demonic,-1,negative
demonize,-1,negative
demonize,-1,negative
demoralize,-1,negative
demoralizing,-1,negative
demoralizingly,-1,negative
demystify,1,positive
denial,-1,negative
denigrate,-1,negative
deny,-1,negative
denounce,-1,negative
denunciate,-1,negative
denunciation,-1,negative
denunciations,-1,negative
dependable,1,positive
dependent,0,neutral
dependent,0,neutral
deplete,-1,negative
deplorable,-1,negative
deplorable,-1,negative
deplorably,-1,negative
deplore,-1,negative
deploring,-1,negative
deploringly,-1,negative
deprave,-1,negative
depraved,-1,negative
depravedly,-1,negative
deprecate,-1,negative
depress,-1,negative
depressed,-1,negative
depressing,-1,negative
depressing,-1,negative
depressingly,-1,negative
depression,-1,negative
depression,-1,negative
deprive,-1,negative
deprived,-1,negative
deride,-1,negative
derision,-1,negative
derisive,-1,negative
derisively,-1,negative
derisiveness,-1,negative
derogatory,-1,negative
desecrate,-1,negative
deserve,1,positive
deserved,1,positive
deservedly,1,positive
deserving,1,positive
desert,-1,negative
desertion,-1,negative
desiccate,-1,negative
desiccated,-1,negative
desirable,1,positive
desire,1,positive
desire,1,positive
desire,1,positive
desirous,1,positive
desolate,-1,negative
desolately,-1,negative
desolation,-1,negative
despair,-1,negative
despair,-1,negative
despairing,-1,negative
despairingly,-1,negative
desperate,-1,negative
desperately,-1,negative
desperation,-1,negative
despicable,-1,negative
despicably,-1,negative
despise,-1,negative
despised,-1,negative
despised,-1,negative
despite,-1,negative
despoil,-1,negative
despoiler,-1,negative
despondence,-1,negative
despondency,-1,negative
despondent,-1,negative
despondently,-1,negative
despot,-1,negative
despotic,-1,negative
despotism,-1,negative
despotism,-1,negative
destabilisation,-1,negative
destabilisation,-1,negative
destine,1,positive
destined,1,positive
destinies,1,positive
destinies,1,positive
destiny,1,positive
destiny,0,neutral
destiny,0,neutral
destitute,-1,negative
destitution,-1,negative
destroy,-1,negative
destroyer,-1,negative
destroyer,-1,negative
destruction,-1,negative
destructive,-1,negative
desultory,-1,negative
deter,-1,negative
deteriorate,-1,negative
deteriorating,-1,negative
deteriorating,-1,negative
deterioration,-1,negative
determination,1,positive
determination,1,positive
deterrent,-1,negative
detest,-1,negative
detestable,-1,negative
detestably,-1,negative
detract,-1,negative
detraction,-1,negative
detriment,-1,negative
detrimental,-1,negative
devastate,-1,negative
devastated,-1,negative
devastating,-1,negative
devastatingly,-1,negative
devastation,-1,negative
deviate,-1,negative
deviate,-1,negative
deviate,-1,negative
deviation,-1,negative
devil,-1,negative
devilish,-1,negative
devilishly,-1,negative
devilment,-1,negative
devilry,-1,negative
devious,-1,negative
deviously,-1,negative
deviousness,-1,negative
devoid,-1,negative
devote,1,positive
devoted,1,positive
devotee,1,positive
devotion,1,positive
devout,1,positive
dexterity,1,positive
dexterous,1,positive
dexterously,1,positive
dextrous,1,positive
diabolic,-1,negative
diabolical,-1,negative
diabolically,-1,negative
diametrically,-1,negative
diatribe,-1,negative
diatribes,-1,negative
dictator,-1,negative
dictatorial,-1,negative
differ,-1,negative
difference,0,neutral
difference,0,neutral
difficult,-1,negative
difficulties,-1,negative
difficulties,-1,negative
difficulty,-1,negative
difficulty,-1,negative
diffidence,-1,negative
diffidence,-1,negative
dig,-1,negative
dig,1,positive
dignified,1,positive
dignify,1,positive
dignity,1,positive
digress,-1,negative
dilapidated,-1,negative
dilemma,-1,negative
dilemma,-1,negative
diligence,1,positive
diligent,1,positive
diligently,1,positive
dilly-dally,-1,negative
dim,-1,negative
dim,-1,negative
diminish,-1,negative
diminishing,-1,negative
din,-1,negative
dinky,-1,negative
diplomacy,0,neutral
diplomacy,0,neutral
diplomatic,1,positive
diplomatic,1,positive
dire,-1,negative
direct,0,neutral
direly,-1,negative
direness,-1,negative
dirt,-1,negative
dirty,-1,negative
dirty,-1,negative
disable,-1,negative
disabled,-1,negative
disaccord,-1,negative
disadvantage,-1,negative
disadvantaged,-1,negative
disadvantageous,-1,negative
disadvantageous,-1,negative
disaffect,-1,negative
disaffected,-1,negative
disaffirm,-1,negative
disagree,-1,negative
disagreeable,-1,negative
disagreeably,-1,negative
disagreement,-1,negative
disagreement,-1,negative
disallow,-1,negative
disappoint,-1,negative
disappointed,-1,negative
disappointing,-1,negative
disappointingly,-1,negative
disappointment,-1,negative
disappointment,-1,negative
disapprobation,-1,negative
disapproval,-1,negative
disapproval,-1,negative
disapprove,-1,negative
disapproving,-1,negative
disarm,-1,negative
disarray,-1,negative
disarray,-1,negative
disaster,-1,negative
disastrous,-1,negative
disastrously,-1,negative
disavow,-1,negative
disavowal,-1,negative
disbelief,-1,negative
disbelieve,-1,negative
disbeliever,-1,negative
discern,0,neutral
discerning,1,positive
disclaim,-1,negative
discombobulate,-1,negative
discomfit,-1,negative
discomfititure,-1,negative
discomfort,-1,negative
discompose,-1,negative
disconcert,-1,negative
disconcerted,-1,negative
disconcerting,-1,negative
disconcertingly,-1,negative
disconsolate,-1,negative
disconsolately,-1,negative
disconsolation,-1,negative
discontent,-1,negative
discontent,-1,negative
discontented,-1,negative
discontentedly,-1,negative
discontinuity,-1,negative
discontinuity,-1,negative
discord,-1,negative
discordance,-1,negative
discordant,-1,negative
discountenance,-1,negative
discourage,-1,negative
discouragement,-1,negative
discouraging,-1,negative
discouragingly,-1,negative
discourteous,-1,negative
discourteously,-1,negative
discredit,-1,negative
discreet,1,positive
discreet,1,positive
discrepant,-1,negative
discretion,1,positive
discriminate,-1,negative
discriminating,1,positive
discriminatingly,1,positive
discrimination,-1,negative
discrimination,-1,negative
discriminatory,-1,negative
disdain,-1,negative
disdain,-1,negative
disdainful,-1,negative
disdainfully,-1,negative
disease,-1,negative
diseased,-1,negative
disfavor,-1,negative
disgrace,-1,negative
disgrace,-1,negative
disgraced,-1,negative
disgraceful,-1,negative
disgracefully,-1,negative
disgruntle,-1,negative
disgruntled,-1,negative
disgust,-1,negative
disgust,-1,negative
disgusted,-1,negative
disgustedly,-1,negative
disgustful,-1,negative
disgustfully,-1,negative
disgusting,-1,negative
disgustingly,-1,negative
dishearten,-1,negative
disheartening,-1,negative
dishearteningly,-1,negative
dishonest,-1,negative
dishonest,-1,negative
dishonestly,-1,negative
dishonesty,-1,negative
dishonor,-1,negative
dishonor,-1,negative
dishonorable,-1,negative
dishonorablely,-1,negative
disillusion,-1,negative
disillusion,-1,negative
disillusioned,-1,negative
disinclination,-1,negative
disinclined,-1,negative
disingenuous,-1,negative
disingenuously,-1,negative
disintegrate,-1,negative
disinterested,-1,negative
disintegration,-1,negative
disinterest,-1,negative
disinterested,-1,negative
dislike,-1,negative
dislocated,-1,negative
disloyal,-1,negative
disloyal,-1,negative
disloyalty,-1,negative
dismal,-1,negative
dismally,-1,negative
dismalness,-1,negative
dismay,-1,negative
dismay,-1,negative
dismayed,-1,negative
dismaying,-1,negative
dismayingly,-1,negative
dismissive,-1,negative
dismissive,-1,negative
dismissively,-1,negative
disobedience,-1,negative
disobedient,-1,negative
disobey,-1,negative
disown,-1,negative
disorder,-1,negative
disorder,-1,negative
disordered,-1,negative
disorderly,-1,negative
disorganized,-1,negative
disorient,-1,negative
disoriented,-1,negative
disown,-1,negative
disparage,-1,negative
disparaging,-1,negative
disparagingly,-1,negative
dispensable,-1,negative
dispirit,-1,negative
dispirited,-1,negative
dispiritedly,-1,negative
dispiriting,-1,negative
displace,-1,negative
displaced,-1,negative
displease,-1,negative
displeasing,-1,negative
displeasure,-1,negative
displeasure,-1,negative
disposition,0,neutral
disproportionate,-1,negative
disprove,-1,negative
disputable,-1,negative
dispute,-1,negative
dispute,-1,negative
disputed,-1,negative
disquiet,-1,negative
disquieting,-1,negative
disquietingly,-1,negative
disquietude,-1,negative
disregard,-1,negative
disregard,-1,negative
disregardful,-1,negative
disreputable,-1,negative
disrepute,-1,negative
disrespect,-1,negative
disrespectable,-1,negative
disrespectablity,-1,negative
disrespectful,-1,negative
disrespectfully,-1,negative
disrespectfulness,-1,negative
disrespecting,-1,negative
disrespecting,-1,negative
disrupt,-1,negative
disruption,-1,negative
disruption,-1,negative
disruptive,-1,negative
dissatisfaction,-1,negative
dissatisfaction,-1,negative
dissatisfactory,-1,negative
dissatisfied,-1,negative
dissatisfy,-1,negative
dissatisfying,-1,negative
dissemble,-1,negative
dissembler,-1,negative
dissension,-1,negative
dissent,-1,negative
dissent,-1,negative
dissenter,-1,negative
dissention,-1,negative
disservice,-1,negative
disservice,-1,negative
dissidence,-1,negative
dissident,-1,negative
dissident,-1,negative
dissidents,-1,negative
dissidents,-1,negative
dissocial,-1,negative
dissolute,-1,negative
dissolution,-1,negative
dissonance,-1,negative
dissonant,-1,negative
dissonantly,-1,negative
dissuade,-1,negative
dissuasive,-1,negative
distaste,-1,negative
distasteful,-1,negative
distastefully,-1,negative
distinct,1,positive
distinction,1,positive
distinctive,1,positive
distinctive,1,positive
distinctive,1,positive
distinctly,0,neutral
distinguish,1,positive
distinguished,1,positive
distort,-1,negative
distortion,-1,negative
distortion,-1,negative
distract,-1,negative
distracting,-1,negative
distraction,-1,negative
distraction,-1,negative
distraught,-1,negative
distraughtly,-1,negative
distraughtness,-1,negative
distress,-1,negative
distressed,-1,negative
distressing,-1,negative
distressingly,-1,negative
distrust,-1,negative
distrustful,-1,negative
distrusting,-1,negative
disturb,-1,negative
disturbed,-1,negative
disturbed-let,-1,negative
disturbed-let,-1,negative
disturbing,-1,negative
disturbingly,-1,negative
disunity,-1,negative
disvalue,-1,negative
divergent,-1,negative
diversified,1,positive
divide,-1,negative
divided,-1,negative
divine,1,positive
divine,1,positive
divinely,1,positive
division,-1,negative
divisive,-1,negative
divisively,-1,negative
divisiveness,-1,negative
divorce,-1,negative
divorce,-1,negative
divorced,-1,negative
dizzy,-1,negative
dizzing,-1,negative
dizzingly,-1,negative
doddering,-1,negative
dodge,1,positive
dodge,1,positive
dodgey,-1,negative
dogged,-1,negative
doggedly,-1,negative
dogmatic,-1,negative
doldrums,-1,negative
dominance,-1,negative
dominance,-1,negative
dominant,0,neutral
dominant,0,neutral
dominate,-1,negative
domination,-1,negative
domination,-1,negative
domineer,-1,negative
domineering,-1,negative
domineering,-1,negative
doom,-1,negative
doomsday,-1,negative
doomsday,-1,negative
dope,-1,negative
dote,1,positive
dotingly,1,positive
doubt,-1,negative
doubt,-1,negative
doubtful,-1,negative
doubtfully,-1,negative
doubtless,1,positive
doubts,-1,negative
doubts,-1,negative
down,-1,negative
downbeat,-1,negative
downcast,-1,negative
downer,-1,negative
downfall,-1,negative
downfallen,-1,negative
downgrade,-1,negative
downhearted,-1,negative
downheartedly,-1,negative
downright,0,neutral
downside,-1,negative
drab,-1,negative
draconian,-1,negative
draconic,-1,negative
dragon,-1,negative
dragons,-1,negative
dragons,-1,negative
dragoon,-1,negative
drain,-1,negative
drain,-1,negative
drama,-1,negative
drama,-1,negative
dramatic,0,neutral
dramatically,0,neutral
drastic,-1,negative
drastically,-1,negative
dread,-1,negative
dread,-1,negative
dreadful,-1,negative
dreadfully,-1,negative
dreadfulness,-1,negative
dream,1,positive
dream,1,positive
dream,1,positive
dreamland,1,positive
dreams,1,positive
dreams,1,positive
dreamy,1,positive
dreary,-1,negative
drive,1,positive
driven,1,positive
drones,-1,negative
drones,-1,negative
droop,-1,negative
drought,-1,negative
drought,-1,negative
drowning,-1,negative
drunk,-1,negative
drunkard,-1,negative
drunken,-1,negative
dubious,-1,negative
dubiously,-1,negative
dubitable,-1,negative
dud,-1,negative
dull,-1,negative
dullard,-1,negative
dumb,-1,negative
dumb,-1,negative
dumbfound,-1,negative
dumbfounded,-1,negative
dummy,-1,negative
dump,-1,negative
dunce,-1,negative
dungeon,-1,negative
dungeons,-1,negative
dungeons,-1,negative
dupe,-1,negative
durable,1,positive
durability,1,positive
dusty,-1,negative
duty,0,neutral
dwindle,-1,negative
dwindling,-1,negative
dynamic,1,positive
dying,-1,negative
eager,1,positive
eagerly,1,positive
eagerness,1,positive
earnest,1,positive
earnestly,1,positive
earnestness,1,positive
earsplitting,-1,negative
ease,1,positive
ease,1,positive
easier,1,positive
easiest,1,positive
easily,1,positive
easiness,1,positive
easy,1,positive
easygoing,1,positive
ebullience,1,positive
ebullient,1,positive
ebulliently,1,positive
eccentric,-1,negative
eccentricity,-1,negative
eclectic,1,positive
economical,1,positive
ecstasies,1,positive
ecstasy,1,positive
ecstatic,1,positive
ecstatically,1,positive
edgy,-1,negative
edify,1,positive
educable,1,positive
educated,1,positive
educational,1,positive
effective,1,positive
effectively,0,neutral
effectiveness,1,positive
effectual,1,positive
efficacious,1,positive
efficiency,1,positive
efficient,1,positive
effigy,-1,negative
effortless,1,positive
effortlessly,1,positive
effrontery,-1,negative
effusion,1,positive
effusive,1,positive
effusively,1,positive
effusiveness,1,positive
egalitarian,1,positive
ego,-1,negative
ego,-1,negative
egocentric,-1,negative
egomania,-1,negative
egotism,-1,negative
egotistical,-1,negative
egotistically,-1,negative
egregious,-1,negative
egregiously,-1,negative
ejaculate,-1,negative
elaborate,0,neutral
elan,1,positive
elate,1,positive
elated,1,positive
elatedly,1,positive
elation,1,positive
election-rigger,-1,negative
election-rigger,-1,negative
electrification,1,positive
electrification,1,positive
electrify,1,positive
elegance,1,positive
elegant,1,positive
elegantly,1,positive
elevate,1,positive
elevated,1,positive
eligible,1,positive
eliminate,-1,negative
elimination,-1,negative
elite,1,positive
eloquence,1,positive
eloquent,1,positive
eloquently,1,positive
else,0,neutral
emaciated,-1,negative
emancipate,1,positive
emasculate,-1,negative
embarrass,-1,negative
embarrassing,-1,negative
embarrassingly,-1,negative
embarrassment,-1,negative
embattled,-1,negative
embellish,1,positive
embodiment,0,neutral
embolden,1,positive
embrace,1,positive
embroil,-1,negative
embroiled,-1,negative
embroilment,-1,negative
eminence,1,positive
eminent,1,positive
emotion,0,neutral
emotion,0,neutral
emotional,-1,negative
emotions,0,neutral
emotions,0,neutral
empathize,-1,negative
empathy,-1,negative
emphasise,0,neutral
emphasise,0,neutral
emphatic,-1,negative
emphatically,-1,negative
empower,1,positive
empowerment,1,positive
emptiness,-1,negative
emptiness,-1,negative
empty,-1,negative
enable,1,positive
enchant,1,positive
enchanted,1,positive
enchanting,1,positive
enchantingly,1,positive
encourage,1,positive
encouragement,1,positive
encouragement,1,positive
encouraging,1,positive
encouraging,1,positive
encouragingly,1,positive
encroach,-1,negative
encroachment,-1,negative
endanger,-1,negative
endear,1,positive
endearing,1,positive
endless,-1,negative
endorse,1,positive
endorsement,1,positive
endorsement,1,positive
endorser,1,positive
endurable,1,positive
endure,1,positive
enduring,1,positive
enemies,-1,negative
enemies,-1,negative
enemy,-1,negative
energetic,1,positive
energetic,1,positive
energize,1,positive
enervate,-1,negative
enfeeble,-1,negative
enflame,-1,negative
engage,0,neutral
engaging,1,positive
engross,0,neutral
engrossing,1,positive
engulf,-1,negative
enhance,1,positive
enhanced,1,positive
enhancement,1,positive
enjoin,-1,negative
enjoy,1,positive
enjoyable,1,positive
enjoyably,1,positive
enjoyment,1,positive
enlighten,1,positive
enlightenment,1,positive
enliven,1,positive
enmity,-1,negative
ennoble,1,positive
enormities,-1,negative
enormity,-1,negative
enormous,-1,negative
enormously,-1,negative
enough,0,neutral
enrage,-1,negative
enraged,-1,negative
enrapt,1,positive
enrapture,1,positive
enraptured,1,positive
enrich,1,positive
enrichment,1,positive
enslave,-1,negative
ensure,1,positive
entangle,-1,negative
entanglement,-1,negative
enterprising,1,positive
entertain,1,positive
entertaining,1,positive
enthral,1,positive
enthrall,1,positive
enthralled,1,positive
enthuse,1,positive
enthusiasm,1,positive
enthusiast,1,positive
enthusiastic,1,positive
enthusiastically,1,positive
entice,1,positive
enticing,1,positive
enticingly,1,positive
entire,0,neutral
entirely,0,neutral
entrance,1,positive
entranced,1,positive
entrancing,1,positive
entrap,-1,negative
entrapment,-1,negative
entreat,1,positive
entreatingly,1,positive
entrenchment,0,neutral
entrenchment,0,neutral
entrust,1,positive
enviable,1,positive
enviably,1,positive
envious,-1,negative
enviously,-1,negative
enviousness,-1,negative
envision,1,positive
envisions,1,positive
envisions,1,positive
envy,-1,negative
envy,-1,negative
epic,1,positive
epidemic,-1,negative
epitome,1,positive
equality,1,positive
equality,1,positive
equitable,1,positive
equivocal,-1,negative
eradicate,-1,negative
erase,-1,negative
erode,-1,negative
erosion,-1,negative
err,-1,negative
errant,-1,negative
erratic,-1,negative
erratically,-1,negative
erroneous,-1,negative
erroneous,-1,negative
erroneously,-1,negative
error,-1,negative
error,-1,negative
erudite,1,positive
escapade,-1,negative
eschew,-1,negative
esoteric,-1,negative
essential,1,positive
especially,1,positive
esteem,1,positive
esteem,1,positive
estranged,-1,negative
established,1,positive
eternal,-1,negative
eternity,1,positive
eternity,1,positive
ethical,1,positive
eulogize,1,positive
euphoria,1,positive
euphoric,1,positive
euphorically,1,positive
evaluate,0,neutral
evaluation,0,neutral
evaluation,0,neutral
evade,-1,negative
evasion,-1,negative
evasive,-1,negative
even,1,positive
evenly,1,positive
eventful,1,positive
everlasting,1,positive
evident,1,positive
evidently,1,positive
evil,-1,negative
evil,-1,negative
evildoer,-1,negative
evils,-1,negative
evils,-1,negative
eviscerate,-1,negative
evocative,1,positive
exacerbate,-1,negative
exact,0,neutral
exacting,-1,negative
exactly,0,neutral
exaggerate,-1,negative
exaggeration,-1,negative
exaggeration,-1,negative
exalt,1,positive
exalt,1,positive
exaltation,1,positive
exalted,1,positive
exaltedly,1,positive
exalting,1,positive
exaltingly,1,positive
exasperate,-1,negative
exasperation,-1,negative
exasperating,-1,negative
exasperatingly,-1,negative
exceed,1,positive
exceeding,1,positive
exceedingly,1,positive
excel,1,positive
excellence,1,positive
excellency,1,positive
excellent,1,positive
excellently,1,positive
exceptional,1,positive
exceptionally,1,positive
excessive,-1,negative
excessively,-1,negative
excite,1,positive
excited,1,positive
excitedly,1,positive
excitedness,1,positive
excitement,1,positive
exciting,1,positive
excitingly,1,positive
exclaim,-1,negative
exclude,-1,negative
exclusion,-1,negative
exclusive,1,positive
exclusively,0,neutral
excoriate,-1,negative
excruciating,-1,negative
excruciatingly,-1,negative
excusable,1,positive
excusable,1,positive
excuse,-1,negative
excuse,-1,negative
excuse,1,positive
excuses,-1,negative
excuses,-1,negative
execrate,-1,negative
exemplar,1,positive
exemplary,1,positive
exhaust,-1,negative
exhaustion,-1,negative
exhaustive,1,positive
exhaustively,1,positive
exhilarate,1,positive
exhilarating,1,positive
exhilaratingly,1,positive
exhilaration,1,positive
exhort,-1,negative
exile,-1,negative
exonerate,1,positive
exorbitant,-1,negative
exorbitantance,-1,negative
exorbitantly,-1,negative
expansive,1,positive
expectation,0,neutral
expectation,0,neutral
expedient,-1,negative
expediencies,-1,negative
expediencies,-1,negative
expel,-1,negative
expensive,-1,negative
expensive,-1,negative
experienced,1,positive
expert,1,positive
expertly,1,positive
expire,-1,negative
explicit,1,positive
explicitly,1,positive
explode,-1,negative
exploit,-1,negative
exploitation,-1,negative
exploitation,-1,negative
expose,-1,negative
exposed,-1,negative
explosive,-1,negative
expound,0,neutral
expression,0,neutral
expression,0,neutral
expressions,0,neutral
expressions,0,neutral
expressive,1,positive
expropriate,-1,negative
expropriate,-1,negative
expropriation,-1,negative
expropriation,-1,negative
expulse,-1,negative
expunge,-1,negative
exquisite,1,positive
exquisitely,1,positive
extemporize,0,neutral
extensive,0,neutral
extensively,0,neutral
exterminate,-1,negative
extermination,-1,negative
extinguish,-1,negative
extol,1,positive
extoll,1,positive
extort,-1,negative
extortion,-1,negative
extraneous,-1,negative
extraordinarily,1,positive
extraordinary,1,positive
extravagance,-1,negative
extravagant,-1,negative
extravagantly,-1,negative
extreme,-1,negative
extreme,-1,negative
extremely,-1,negative
extremism,-1,negative
extremism,-1,negative
extremist,-1,negative
extremists,-1,negative
extremists,-1,negative
exuberance,1,positive
exuberant,1,positive
exuberantly,1,positive
exult,1,positive
exultation,1,positive
exultingly,1,positive
eyebrows,0,neutral
eyebrows,0,neutral
fabricate,-1,negative
fabrication,-1,negative
fabulous,1,positive
fabulously,1,positive
facetious,-1,negative
facetiously,-1,negative
facilitate,1,positive
fact,0,neutral
facts,0,neutral
factual,0,neutral
fading,-1,negative
fail,-1,negative
failing,-1,negative
failure,-1,negative
failure,-1,negative
failures,-1,negative
failures,-1,negative
faint,-1,negative
fainthearted,-1,negative
fair,1,positive
fair,1,positive
fairly,1,positive
fairness,1,positive
fairness,1,positive
faith,1,positive
faith,1,positive
faithful,1,positive
faithful,1,positive
faithfully,1,positive
faithfulness,1,positive
faithless,-1,negative
fake,-1,negative
fall,-1,negative
fallacies,-1,negative
fallacies,-1,negative
fallacious,-1,negative
fallaciously,-1,negative
fallaciousness,-1,negative
fallacy,-1,negative
fallout,-1,negative
false,-1,negative
false,-1,negative
falsehood,-1,negative
falsely,-1,negative
falsify,-1,negative
falter,-1,negative
famed,1,positive
familiar,0,neutral
familiar,0,neutral
fame,1,positive
famed,1,positive
famine,-1,negative
famished,-1,negative
famous,1,positive
famously,1,positive
fanatic,-1,negative
fanatical,-1,negative
fanatically,-1,negative
fanaticism,-1,negative
fanatics,-1,negative
fanciful,-1,negative
fancy,1,positive
fancy,1,positive
fanfare,1,positive
fanfare,1,positive
fantastic,1,positive
fantastically,1,positive
fantasy,1,positive
fantasy,1,positive
far-fetched,-1,negative
far-reaching,0,neutral
farfetched,-1,negative
farce,-1,negative
farcical,-1,negative
farcical-yet-provocative,-1,negative
farcically,-1,negative
farsighted,1,positive
fascinate,1,positive
fascinating,1,positive
fascinatingly,1,positive
fascination,1,positive
fascism,-1,negative
fascism,-1,negative
fascist,-1,negative
fashionable,1,positive
fashionably,1,positive
fast,0,neutral
fast-growing,1,positive
fast-paced,1,positive
fastest-growing,1,positive
fastidious,-1,negative
fastidiously,-1,negative
fastuous,-1,negative
fat,-1,negative
fatal,-1,negative
fatalistic,-1,negative
fatalistically,-1,negative
fatally,-1,negative
fateful,-1,negative
fatefully,-1,negative
fathom,1,positive
